Jersey,Name,Position,Age,Height,Weight,Years,College,Team,Position Group,Side,Level
8,Kevin Hogan,QB,23,75,217,0,Stanford,Kansas City,QB,OFF,Rookie
11,Alex Smith,QB,32,76,217,12,Utah,Kansas City,QB,OFF,9-12 Yrs
9,Tyler Bray,QB,24,78,215,3,Tennessee,Kansas City,QB,OFF,1-4 Yrs
13,De'Anthony Thomas,RB,23,68,176,3,Oregon,Kansas City,Tailback,OFF,1-4 Yrs
35,Charcandrick West,RB,25,70,205,3,Abilene Christian,Kansas City,Tailback,OFF,1-4 Yrs
34,Knile Davis,RB,24,70,227,4,Arkansas,Kansas City,Tailback,OFF,1-4 Yrs
32,Spencer Ware,RB,24,70,228,3,LSU,Kansas City,Tailback,OFF,1-4 Yrs
1,Darrin Reaves,RB,23,70,215,2,UAB,Kansas City,Tailback,OFF,1-4 Yrs
25,Jamaal Charles,RB,29,71,199,9,Texas,Kansas City,Tailback,OFF,9-12 Yrs
27,Stevie Brown,S,29,71,215,6,Michigan,Kansas City,DB,DEF,5-8 Yrs
38,Ron Parker,SS,28,72,206,6,Newberry,Kansas City,DB,DEF,5-8 Yrs
29,Eric Berry,SS,27,72,212,7,Tennessee,Kansas City,DB,DEF,5-8 Yrs
27,Donald Washington,SS,29,73,197,3,Ohio State,Kansas City,DB,DEF,1-4 Yrs
80,James O'Shaughnessy,TE,24,76,245,2,Illinois State,Kansas City,TE,OFF,1-4 Yrs
82,Brian Parker,TE,24,76,265,2,Albany,Kansas City,TE,OFF,1-4 Yrs
87,Travis Kelce,TE,26,77,260,4,Cincinnati,Kansas City,TE,OFF,1-4 Yrs
84,Demetrius Harris,TE,24,79,230,3,--,Kansas City,TE,OFF,1-4 Yrs
89,Ross Travis,TE,23,79,235,1,Penn State,Kansas City,TE,OFF,1-4 Yrs
19,Jeremy Maclin,WR,28,72,198,8,Missouri,Kansas City,WR,OFF,5-8 Yrs
4,Da'Ron Brown,WR,24,72,199,1,Northern Illinois,Kansas City,WR,OFF,1-4 Yrs
89,Kashif Moore,WR,27,69,180,1,Connecticut,Kansas City,WR,OFF,1-4 Yrs
12,Albert Wilson,WR,24,69,200,3,Georgia State,Kansas City,WR,OFF,1-4 Yrs
11,Tyreek Hill,WR,22,70,185,0,West Alabama,Kansas City,WR,OFF,Rookie
85,Frankie Hammond,WR,26,73,184,3,Florida,Kansas City,WR,OFF,1-4 Yrs
11,Demarcus Robinson,WR,21,73,204,0,Florida,Kansas City,WR,OFF,Rookie
15,Mike Williams,WR,29,74,212,6,Syracuse,Kansas City,WR,OFF,5-8 Yrs
80,Rod Streater,WR,28,74,195,5,Temple,Kansas City,WR,OFF,5-8 Yrs
17,Chris Conley,WR,23,74,205,2,Georgia,Kansas City,WR,OFF,1-4 Yrs
6,Kenny Cook,WR,24,76,218,1,Gardner-Webb,Kansas City,WR,OFF,1-4 Yrs
10,Mitch Mathews,WR,25,78,205,0,BYU,Kansas City,WR,OFF,Rookie
44,Jake McQuaide,C,28,74,244,6,Ohio State,Los Angeles,OL,OFF,5-8 Yrs
65,Demetrius Rhaney,C,24,74,301,3,Tennessee State,Los Angeles,OL,OFF,1-4 Yrs
61,Tim Barnes,C,28,76,306,5,Missouri,Los Angeles,OL,OFF,5-8 Yrs
67,Brian Folkerts,C,26,76,310,4,Washburn,Los Angeles,OL,OFF,1-4 Yrs
60,Eric Kush,C,26,76,313,4,California (PA),Los Angeles,OL,OFF,1-4 Yrs
47,Marcus Roberson,CB,23,72,191,3,Florida,Los Angeles,DB,DEF,1-4 Yrs
--,Winston Rose,CB,22,72,180,0,New Mexico State,Los Angeles,DB,DEF,Rookie
20,Lamarcus Joyner,CB,25,68,184,3,Florida State,Los Angeles,DB,DEF,1-4 Yrs
33,E.J. Gaines,CB,24,70,190,3,Missouri,Los Angeles,DB,DEF,1-4 Yrs
21,Coty Sensabaugh,CB,27,71,187,5,Clemson,Los Angeles,DB,DEF,5-8 Yrs
22,Trumaine Johnson,CB,26,74,208,5,Montana,Los Angeles,DB,DEF,5-8 Yrs
--,Michael Jordan,DB,23,72,200,0,Missouri Western,Los Angeles,DB,DEF,Rookie
--,Brian Randolph,DB,23,72,198,0,Tennessee,Los Angeles,DB,DEF,Rookie
32,Troy Hill,DB,24,70,182,1,Oregon,Los Angeles,DB,DEF,1-4 Yrs
--,Rohan Gaines,DB,23,71,185,0,Arkansas,Los Angeles,DB,DEF,Rookie
95,William Hayes,DE,31,75,278,9,Winston-Salem,Los Angeles,Front Seven,DEF,9-12 Yrs
63,Matt Longacre,DE,24,75,260,2,Northwest Missouri State,Los Angeles,Front Seven,DEF,1-4 Yrs
94,Robert Quinn,DE,26,76,264,6,North Carolina,Los Angeles,Front Seven,DEF,5-8 Yrs
97,Eugene Sims,DE,30,78,269,7,West Texas A&M,Los Angeles,Front Seven,DEF,5-8 Yrs
98,Quinton Coples,DE,26,78,290,5,North Carolina,Los Angeles,Front Seven,DEF,5-8 Yrs
99,Aaron Donald,DT,25,73,285,3,Pittsburgh,Los Angeles,Front Seven,DEF,1-4 Yrs
62,Louis Trinca-Pasat,DT,24,73,292,1,Iowa,Los Angeles,Front Seven,DEF,1-4 Yrs
--,Cam Thomas,DT,29,76,335,7,North Carolina,Los Angeles,Front Seven,DEF,5-8 Yrs
93,Ethan Westbrooks,DT,25,76,267,3,West Texas A&M,Los Angeles,Front Seven,DEF,1-4 Yrs
--,Morgan Fox,DT,21,76,259,0,Colorado State,Los Angeles,Front Seven,DEF,Rookie
90,Michael Brockers,DT,25,77,326,5,LSU,Los Angeles,Front Seven,DEF,5-8 Yrs
68,Jamon Brown,G,23,76,323,2,Louisville,Los Angeles,OL,OFF,1-4 Yrs
76,Rodger Saffold,G,28,77,332,7,Indiana,Los Angeles,OL,OFF,5-8 Yrs
69,Cody Wichmann,G,24,77,319,2,Fresno State,Los Angeles,OL,OFF,1-4 Yrs
71,Garrett Reynolds,G,29,79,305,8,North Carolina,Los Angeles,OL,OFF,5-8 Yrs
50,Cameron Lynch,LB,22,72,229,2,Syracuse,Los Angeles,Front Seven,DEF,1-4 Yrs
--,Nicholas Grigsby,LB,24,73,220,0,Pittsburgh,Los Angeles,Front Seven,DEF,Rookie
54,Bryce Hager,LB,24,73,235,2,Baylor,Los Angeles,Front Seven,DEF,1-4 Yrs
--,Brandon Chubb,LB,22,73,240,0,Wake Forest,Los Angeles,Front Seven,DEF,Rookie
52,Alec Ogletree,LB,24,74,245,4,Georgia,Los Angeles,Front Seven,DEF,1-4 Yrs
--,Ian Seau,LB,23,74,256,0,Nevada,Los Angeles,Front Seven,DEF,Rookie
--,Darreon Herring,LB,22,74,227,0,Vanderbilt,Los Angeles,Front Seven,DEF,Rookie
45,Josh Forrest,LB,--,75,249,0,Kentucky,Los Angeles,Front Seven,DEF,Rookie
56,Akeem Ayers,LB,27,75,255,6,UCLA,Los Angeles,Front Seven,DEF,5-8 Yrs
--,Cory Littleton,LB,22,75,238,0,Washington,Los Angeles,Front Seven,DEF,Rookie
63,Darrell Williams,OT,22,76,301,2,South Florida,Los Angeles,OL,OFF,1-4 Yrs
73,Greg Robinson,OT,23,77,332,3,Auburn,Los Angeles,OL,OFF,1-4 Yrs
64,Andrew Donnal,OT,24,78,316,2,Iowa,Los Angeles,OL,OFF,1-4 Yrs
79,Robert Havenstein,OT,24,79,321,2,Wisconsin,Los Angeles,OL,OFF,1-4 Yrs
77,Isaiah Battle,OT,23,79,290,2,Clemson,Los Angeles,OL,OFF,1-4 Yrs
--,Jordan Swindle,OT,22,79,304,0,Kentucky,Los Angeles,OL,OFF,Rookie
6,Johnny Hekker,P,26,77,236,5,Oregon State,Los Angeles,ST,ST,5-8 Yrs
4,Greg Zuerlein,PK,28,72,196,5,Missouri Western,Los Angeles,ST,ST,5-8 Yrs
--,Taylor Bertolet,PK,23,69,174,0,Texas A&M,Los Angeles,ST,ST,Rookie
17,Case Keenum,QB,28,73,205,5,Houston,Los Angeles,QB,OFF,5-8 Yrs
--,Dylan Thompson,QB,24,75,218,2,South Carolina,Los Angeles,QB,OFF,1-4 Yrs
16,Jared Goff,QB,21,76,215,0,California,Los Angeles,QB,OFF,Rookie
5,Nick Foles,QB,27,78,243,5,Arizona,Los Angeles,QB,OFF,5-8 Yrs
14,Sean Mannion,QB,24,78,233,2,Oregon State,Los Angeles,QB,OFF,1-4 Yrs
34,Chase Reynolds,RB,28,72,205,4,Montana,Los Angeles,Tailback,OFF,1-4 Yrs
27,Tre Mason,RB,22,68,207,3,Auburn,Los Angeles,Tailback,OFF,1-4 Yrs
--,Terrence Magee,RB,23,69,215,3,LSU,Los Angeles,Tailback,OFF,1-4 Yrs
36,Benjamin Cunningham,RB,26,70,217,4,Middle Tennessee,Los Angeles,Tailback,OFF,1-4 Yrs
--,Aaron Green,RB,23,70,203,0,TCU,Los Angeles,Tailback,OFF,Rookie
39,Malcolm Brown,RB,23,71,224,1,Texas,Los Angeles,Tailback,OFF,1-4 Yrs
30,Todd Gurley,RB,21,73,227,2,Georgia,Los Angeles,Tailback,OFF,1-4 Yrs
37,Christian Bryant,S,24,69,198,2,Ohio State,Los Angeles,DB,DEF,1-4 Yrs
38,Cody Davis,S,27,73,206,4,Texas Tech,Los Angeles,DB,DEF,1-4 Yrs
25,T.J. McDonald,S,25,74,217,4,USC,Los Angeles,DB,DEF,1-4 Yrs
31,Maurice Alexander,SS,25,73,220,3,Utah State,Los Angeles,DB,DEF,1-4 Yrs
26,Mark Barron,SS,26,74,213,5,Alabama,Los Angeles,DB,DEF,5-8 Yrs
88,Lance Kendricks,TE,28,75,250,6,Wisconsin,Los Angeles,TE,OFF,5-8 Yrs
46,Cory Harkey,TE,26,76,259,5,UCLA,Los Angeles,TE,OFF,5-8 Yrs
82,Tyler Higbee,TE,23,76,243,0,Western Kentucky,Los Angeles,TE,OFF,Rookie
--,Benson Browne,TE,--,77,254,0,NC State,Los Angeles,TE,OFF,Rookie
87,Temarrick Hemingway,TE,22,77,244,0,South Carolina State,Los Angeles,TE,OFF,Rookie
--,Nelson Spruce,WR,23,72,196,0,Colorado,Los Angeles,WR,OFF,Rookie
11,Tavon Austin,WR,25,68,176,4,West Virginia,Los Angeles,WR,OFF,1-4 Yrs
15,Bradley Marquez,WR,23,70,196,2,Texas Tech,Los Angeles,WR,OFF,1-4 Yrs
11,Pharoh Cooper,WR,21,71,207,0,South Carolina,Los Angeles,WR,OFF,Rookie
--,Paul McRoberts,WR,23,73,202,0,Southeast Missouri State,Los Angeles,WR,OFF,Rookie
88,Michael Thomas,WR,21,73,200,0,Southern Mississippi,Los Angeles,WR,OFF,Rookie
18,Kenny Britt,WR,27,75,223,8,Rutgers,Los Angeles,WR,OFF,5-8 Yrs
83,Brian Quick,WR,27,75,218,5,Appalachian State,Los Angeles,WR,OFF,5-8 Yrs
--,Marquez North,WR,21,76,224,0,Tennessee,Los Angeles,WR,OFF,Rookie
66,Jacques McClendon,C,28,75,324,4,Tennessee,Miami,OL,OFF,1-4 Yrs
51,Mike Pouncey,C,26,77,305,6,Florida,Miami,OL,OFF,5-8 Yrs
--,Chimdi Chekwa,CB,27,72,190,4,Ohio State,Miami,DB,DEF,1-4 Yrs
4,Xavien Howard,CB,23,72,201,0,Baylor,Miami,DB,DEF,Rookie
28,Bobby McCain,CB,22,69,196,2,Memphis,Miami,DB,DEF,1-4 Yrs
29,Tyler Patmon,CB,25,70,188,3,Oklahoma State,Miami,DB,DEF,1-4 Yrs
31,Byron Maxwell,CB,28,73,207,6,Clemson,Miami,DB,DEF,5-8 Yrs
36,Tony Lippett,CB,24,74,200,2,Michigan State,Miami,DB,DEF,1-4 Yrs
--,Ifo Ekpre-Olomu,DB,23,69,194,1,Oregon,Miami,DB,DEF,1-4 Yrs
--,Lafayette Pitts,DB,23,71,194,0,Pittsburgh,Miami,DB,DEF,Rookie
73,Julius Warmsley,DE,26,74,276,1,Tulane,Miami,Front Seven,DEF,1-4 Yrs
69,Jordan Williams,DE,23,74,282,1,Tennessee,Miami,Front Seven,DEF,1-4 Yrs
91,Cameron Wake,DE,34,75,270,8,Penn State,Miami,Front Seven,DEF,5-8 Yrs
--,Cleyon Laing,DE,25,75,280,1,Iowa State,Miami,Front Seven,DEF,1-4 Yrs
78,Terrence Fede,DE,24,76,278,3,Marist,Miami,Front Seven,DEF,1-4 Yrs
--,Farrington Huguenin,DE,24,76,271,0,Kentucky,Miami,Front Seven,DEF,Rookie
--,Andre Branch,DE,27,77,265,5,Clemson,Miami,Front Seven,DEF,5-8 Yrs
94,Mario Williams,DE,31,78,292,11,NC State,Miami,Front Seven,DEF,9-12 Yrs
95,Dion Jordan,DE,26,78,275,3,Oregon,Miami,Front Seven,DEF,1-4 Yrs
90,Earl Mitchell,DT,28,75,310,7,Arizona,Miami,Front Seven,DEF,5-8 Yrs
62,Deandre Coleman,DT,25,75,324,1,California,Miami,Front Seven,DEF,1-4 Yrs
93,Ndamukong Suh,DT,29,76,320,7,Nebraska,Miami,Front Seven,DEF,5-8 Yrs
97,Jordan Phillips,DT,23,78,330,2,Oklahoma,Miami,Front Seven,DEF,1-4 Yrs
--,Chris Jones,DT,26,73,295,4,Bowling Green,Miami,Front Seven,DEF,1-4 Yrs
82,Anthony Steen,G,26,75,309,1,Alabama,Miami,OL,OFF,1-4 Yrs
75,Jamil Douglas,G,24,76,310,2,Arizona State,Miami,OL,OFF,1-4 Yrs
--,Kraig Urbik,G,30,77,324,8,Wisconsin,Miami,OL,OFF,5-8 Yrs
63,Dallas Thomas,G,26,77,315,4,Tennessee,Miami,OL,OFF,1-4 Yrs
77,Billy Turner,G,24,77,302,2,North Dakota State,Miami,OL,OFF,1-4 Yrs
45,Mike Hull,LB,25,72,237,1,Penn State,Miami,Front Seven,DEF,1-4 Yrs
53,Jelani Jenkins,LB,24,72,243,4,Florida,Miami,Front Seven,DEF,1-4 Yrs
--,James Burgess,LB,22,71,227,0,Louisville,Miami,Front Seven,DEF,Rookie
56,James-Michael Johnson,LB,26,73,240,5,Nevada,Miami,Front Seven,DEF,5-8 Yrs
42,Spencer Paysinger,LB,28,74,250,6,Oregon,Miami,Front Seven,DEF,5-8 Yrs
49,Zach Vigil,LB,25,74,240,2,Utah State,Miami,Front Seven,DEF,1-4 Yrs
46,Neville Hewitt,LB,23,74,235,2,Marshall,Miami,Front Seven,DEF,1-4 Yrs
55,Koa Misi,LB,29,75,255,7,Utah,Miami,Front Seven,DEF,5-8 Yrs
50,Kiko Alonso,LB,25,75,238,4,Oregon,Miami,Front Seven,DEF,1-4 Yrs
--,Akil Blount,LB,22,75,225,0,Florida A&M,Miami,Front Seven,DEF,Rookie
--,Tyler Gray,LB,23,76,232,0,Boise State,Miami,Front Seven,DEF,Rookie
58,Chris McCain,LB,24,77,245,3,California,Miami,Front Seven,DEF,1-4 Yrs
--,Ryan DiSalvo,LS,22,76,249,0,San José State,Miami,ST,ST,Rookie
92,John Denney,LS,37,77,252,12,BYU,Miami,ST,ST,9-12 Yrs
81,Vinston Painter,OL,26,76,310,2,Virginia Tech,Miami,OL,OFF,1-4 Yrs
--,Ruben Carter,OL,23,76,306,0,Toledo,Miami,OL,OFF,Rookie
68,Ulrick John,OL,24,80,300,3,Georgia State,Miami,OL,OFF,1-4 Yrs
76,Branden Albert,OT,31,77,320,9,Virginia,Miami,OL,OFF,9-12 Yrs
74,Jermon Bushrod,OT,31,77,320,10,Towson,Miami,OL,OFF,9-12 Yrs
78,Laremy Tunsil,OT,21,77,305,0,Ole Miss,Miami,OL,OFF,Rookie
70,Ja'Wuan James,OT,24,78,315,3,Tennessee,Miami,OL,OFF,1-4 Yrs
--,Sam Young,OT,29,80,320,7,Notre Dame,Miami,OL,OFF,5-8 Yrs
4,Matt Darr,P,24,73,220,2,Tennessee,Miami,ST,ST,1-4 Yrs
3,Andrew Franks,PK,23,73,205,2,Rensselaer,Miami,ST,ST,1-4 Yrs
12,Brandon Doughty,QB,24,74,216,0,Western Kentucky,Miami,QB,OFF,Rookie
8,Matt Moore,QB,31,75,220,9,Oregon State,Miami,QB,OFF,9-12 Yrs
2,Zac Dysert,QB,26,75,221,2,Miami (OH),Miami,QB,OFF,1-4 Yrs
17,Ryan Tannehill,QB,27,76,220,5,Texas A&M,Miami,QB,OFF,5-8 Yrs
23,Jay Ajayi,RB,23,72,228,2,Boise State,Miami,Tailback,OFF,1-4 Yrs
17,Kenyan Drake,RB,22,72,210,0,Alabama,Miami,Tailback,OFF,Rookie
--,Isaiah Pead,RB,26,70,204,4,Cincinnati,Miami,Tailback,OFF,1-4 Yrs
34,Damien Williams,RB,24,71,225,3,Oklahoma,Miami,Tailback,OFF,1-4 Yrs
--,Arian Foster,RB,29,73,227,8,Tennessee,Miami,Tailback,OFF,5-8 Yrs
--,Daniel Thomas,RB,28,73,235,5,Kansas State,Miami,Tailback,OFF,5-8 Yrs
27,Shamiel Gary,S,26,72,205,2,Oklahoma State,Miami,DB,DEF,1-4 Yrs
9,Jordan Lucas,S,22,72,201,0,Penn State,Miami,DB,DEF,Rookie
31,Michael Thomas,S,26,71,201,4,Stanford,Miami,DB,DEF,1-4 Yrs
20,Reshad Jones,S,28,73,218,7,Georgia,Miami,DB,DEF,5-8 Yrs
--,Isa Abdul-Quddus,S,26,73,201,6,Fordham,Miami,DB,DEF,5-8 Yrs
35,Walt Aikens,S,25,73,208,3,Liberty,Miami,DB,DEF,1-4 Yrs
--,A.J. Hendy,S,23,73,201,0,Maryland,Miami,DB,DEF,Rookie
99,Dominique Jones,TE,28,75,270,4,Shepherd,Miami,TE,OFF,1-4 Yrs
86,Jake Stoneburner,TE,26,75,250,3,Ohio State,Miami,TE,OFF,1-4 Yrs
18,Thomas Duarte,TE,21,75,225,0,UCLA,Miami,TE,OFF,Rookie
48,MarQueis Gray,TE,26,76,242,4,Minnesota,Miami,TE,OFF,1-4 Yrs
80,Dion Sims,TE,25,76,268,4,Michigan State,Miami,TE,OFF,1-4 Yrs
--,Gabe Hughes,TE,22,76,240,0,Florida Tech,Miami,TE,OFF,Rookie
84,Jordan Cameron,TE,27,77,260,6,USC,Miami,TE,OFF,5-8 Yrs
10,Kenny Stills,WR,24,72,198,4,Oklahoma,Miami,WR,OFF,1-4 Yrs
11,Jakeem Grant,WR,23,66,165,0,Texas Tech,Miami,WR,OFF,Rookie
--,A.J. Cruz,WR,25,69,195,0,Brown,Miami,WR,OFF,Rookie
17,Griff Whalen,WR,26,71,190,5,Stanford,Miami,WR,OFF,5-8 Yrs
14,Jarvis Landry,WR,23,71,202,3,LSU,Miami,WR,OFF,1-4 Yrs
4,Leonte Carroo,WR,22,71,217,0,Rutgers,Miami,WR,OFF,Rookie
--,Brandon Shippen,WR,22,71,185,0,Temple,Miami,WR,OFF,Rookie
83,Matt Hazel,WR,24,73,205,2,Coastal Carolina,Miami,WR,OFF,1-4 Yrs
19,Tyler Murphy,WR,24,73,214,1,Boston College,Miami,WR,OFF,1-4 Yrs
--,Rashawn Scott,WR,24,74,203,0,Miami,Miami,WR,OFF,Rookie
11,DeVante Parker,WR,23,75,218,2,Louisville,Miami,WR,OFF,1-4 Yrs
62,Nicholas Easton,C,24,75,303,2,Harvard,Minnesota,OL,OFF,1-4 Yrs
65,John Sullivan,C,30,76,310,8,Notre Dame,Minnesota,OL,OFF,5-8 Yrs
61,Joe Berger,C,34,77,305,12,Michigan Tech,Minnesota,OL,OFF,9-12 Yrs
47,Kevin McDermott,C,26,77,240,4,UCLA,Minnesota,OL,OFF,1-4 Yrs
67,Zac Kerin,C,24,77,305,2,Toledo,Minnesota,OL,OFF,1-4 Yrs
--,Keith Baxter,CB,24,72,193,0,Marshall,Minnesota,DB,DEF,Rookie
26,Trae Waynes,CB,23,72,190,2,Michigan State,Minnesota,DB,DEF,1-4 Yrs
24,Captain Munnerlyn,CB,28,69,195,8,South Carolina,Minnesota,DB,DEF,5-8 Yrs
23,Terence Newman,CB,37,70,197,14,Kansas State,Minnesota,DB,DEF,13+ Yrs
35,Marcus Sherels,CB,28,70,175,6,Minnesota,Minnesota,DB,DEF,5-8 Yrs
2,Mackensie Alexander,CB,22,70,190,0,Clemson,Minnesota,DB,DEF,Rookie
25,Jabari Price,CB,23,71,200,3,North Carolina,Minnesota,DB,DEF,1-4 Yrs
29,Xavier Rhodes,CB,26,73,218,4,Florida State,Minnesota,DB,DEF,1-4 Yrs
--,Melvin White,CB,26,73,215,3,Louisiana Lafayette,Minnesota,DB,DEF,1-4 Yrs
--,Tre Roberson,CB,23,73,201,0,Illinois State,Minnesota,DB,DEF,Rookie
96,Brian Robison,DE,33,75,259,10,Texas,Minnesota,Front Seven,DEF,9-12 Yrs
97,Everson Griffen,DE,28,75,273,7,USC,Minnesota,Front Seven,DEF,5-8 Yrs
95,Scott Crichton,DE,24,75,273,3,Oregon State,Minnesota,Front Seven,DEF,1-4 Yrs
--,Denzell Perine,DE,23,75,256,0,Florida Atlantic,Minnesota,Front Seven,DEF,Rookie
94,Justin Trattou,DE,27,76,258,5,Florida,Minnesota,Front Seven,DEF,5-8 Yrs
--,Theiren Cockran,DE,23,76,252,0,Minnesota,Minnesota,Front Seven,DEF,Rookie
99,Danielle Hunter,DE,21,77,252,2,LSU,Minnesota,Front Seven,DEF,1-4 Yrs
91,Zach Moore,DE,25,78,280,2,Concordia-St. Paul,Minnesota,Front Seven,DEF,1-4 Yrs
92,Tom Johnson,DT,31,75,288,6,Southern Mississippi,Minnesota,Front Seven,DEF,5-8 Yrs
73,Sharrif Floyd,DT,25,75,311,4,Florida,Minnesota,Front Seven,DEF,1-4 Yrs
69,Toby Johnson,DT,24,75,312,1,Georgia,Minnesota,Front Seven,DEF,1-4 Yrs
72,Kenrick Ellis,DT,28,76,346,6,Hampton,Minnesota,Front Seven,DEF,5-8 Yrs
98,Linval Joseph,DT,27,76,329,7,East Carolina,Minnesota,Front Seven,DEF,5-8 Yrs
76,Isame Faciane,DT,25,76,302,1,Florida Intl,Minnesota,Front Seven,DEF,1-4 Yrs
--,Travis Raciti,DT,24,76,292,1,San José State,Minnesota,Front Seven,DEF,1-4 Yrs
93,Shamar Stephen,DT,25,77,310,3,Connecticut,Minnesota,Front Seven,DEF,1-4 Yrs
48,Zach Line,FB,26,73,233,4,SMU,Minnesota,Tailback,OFF,1-4 Yrs
49,Blake Renaud,FB,23,73,252,1,Boise State,Minnesota,Tailback,OFF,1-4 Yrs
22,Harrison Smith,FS,27,74,214,5,Notre Dame,Minnesota,DB,DEF,5-8 Yrs
79,Mike Harris,G,27,77,338,5,UCLA,Minnesota,OL,OFF,5-8 Yrs
78,Jeremiah Sirles,G,24,78,315,3,Nebraska,Minnesota,OL,OFF,1-4 Yrs
76,Alex Boone,G,29,80,300,7,Ohio State,Minnesota,OL,OFF,5-8 Yrs
54,Eric Kendricks,LB,24,72,232,2,UCLA,Minnesota,Front Seven,DEF,1-4 Yrs
10,Kentrell Brothers,LB,23,72,245,0,Missouri,Minnesota,Front Seven,DEF,Rookie
--,Jake Ganus,LB,23,73,231,0,Georgia,Minnesota,Front Seven,DEF,Rookie
58,Brandon Watts,LB,25,74,231,3,Georgia Tech,Minnesota,Front Seven,DEF,1-4 Yrs
52,Chad Greenway,LB,33,75,237,11,Iowa,Minnesota,Front Seven,DEF,9-12 Yrs
51,Edmond Robinson,LB,24,75,245,2,Newberry,Minnesota,Front Seven,DEF,1-4 Yrs
59,Emmanuel Lamur,LB,27,76,245,5,Kansas State,Minnesota,Front Seven,DEF,5-8 Yrs
45,Stephen Weatherly,LB,22,76,267,0,Vanderbilt,Minnesota,Front Seven,DEF,Rookie
57,Audie Cole,LB,27,77,248,5,NC State,Minnesota,Front Seven,DEF,5-8 Yrs
55,Anthony Barr,LB,24,77,255,3,UCLA,Minnesota,Front Seven,DEF,1-4 Yrs
63,Brandon Fusco,OG,27,76,306,6,Slippery Rock,Minnesota,OL,OFF,5-8 Yrs
74,Austin Shepherd,OG,24,76,327,2,Alabama,Minnesota,OL,OFF,1-4 Yrs
71,Andre Smith,OT,29,76,325,8,Alabama,Minnesota,OL,OFF,5-8 Yrs
70,Willie Beavers,OT,22,76,324,0,Western Michigan,Minnesota,OL,OFF,Rookie
68,T.J. Clemmings,OT,24,77,309,2,Pittsburgh,Minnesota,OL,OFF,1-4 Yrs
75,Matt Kalil,OT,27,79,317,5,USC,Minnesota,OL,OFF,5-8 Yrs
60,Carter Bykowski,OT,25,79,313,3,Iowa State,Minnesota,OL,OFF,1-4 Yrs
71,Phil Loadholt,OT,30,80,345,8,Oklahoma,Minnesota,OL,OFF,5-8 Yrs
18,Jeff Locke,P,26,72,195,4,UCLA,Minnesota,ST,ST,1-4 Yrs
3,Blair Walsh,PK,26,70,170,5,Georgia,Minnesota,ST,ST,5-8 Yrs
6,Taylor Heinicke,QB,23,73,210,2,Old Dominion,Minnesota,QB,OFF,1-4 Yrs
5,Teddy Bridgewater,QB,23,74,215,3,Louisville,Minnesota,QB,OFF,1-4 Yrs
13,Shaun Hill,QB,36,75,230,15,Maryland,Minnesota,QB,OFF,13+ Yrs
--,Joel Stave,QB,24,77,226,0,Wisconsin,Minnesota,QB,OFF,Rookie
44,Matt Asiata,RB,28,72,219,5,Utah,Minnesota,Tailback,OFF,5-8 Yrs
31,Jerick McKinnon,RB,24,69,205,3,Georgia Southern,Minnesota,Tailback,OFF,1-4 Yrs
--,Jhurell Pressley,RB,24,71,198,0,New Mexico,Minnesota,Tailback,OFF,Rookie
28,Adrian Peterson,RB,31,73,220,10,Oklahoma,Minnesota,Tailback,OFF,9-12 Yrs
--,C.J. Ham,RB,23,73,238,0,Augustana (SD),Minnesota,Tailback,OFF,Rookie
--,Michael Griffin,S,31,72,215,10,Texas,Minnesota,DB,DEF,9-12 Yrs
32,Antone Exum Jr.,S,25,72,219,3,Virginia Tech,Minnesota,DB,DEF,1-4 Yrs
34,Andrew Sendejo,S,28,73,210,6,Rice,Minnesota,DB,DEF,5-8 Yrs
41,Anthony Harris,S,24,73,192,1,Virginia,Minnesota,DB,DEF,1-4 Yrs
1,Jayron Kearse,S,22,76,216,0,Clemson,Minnesota,DB,DEF,Rookie
83,MyCole Pruitt,TE,24,74,258,2,Southern Illinois,Minnesota,TE,OFF,1-4 Yrs
--,Kyle Carter,TE,23,75,244,0,Penn State,Minnesota,TE,OFF,Rookie
82,David Morgan II,TE,23,76,260,0,Texas San Antonio,Minnesota,TE,OFF,Rookie
85,Rhett Ellison,TE,27,77,250,5,USC,Minnesota,TE,OFF,5-8 Yrs
--,Brian Leonhardt,TE,26,77,255,2,Bemidji State,Minnesota,TE,OFF,1-4 Yrs
82,Kyle Rudolph,TE,26,78,265,6,Notre Dame,Minnesota,TE,OFF,5-8 Yrs
14,Stefon Diggs,WR,22,72,191,2,Maryland,Minnesota,WR,OFF,1-4 Yrs
--,Troy Stoudermire,WR,26,70,199,0,Minnesota,Minnesota,WR,OFF,Rookie
17,Jarius Wright,WR,26,70,191,5,Arkansas,Minnesota,WR,OFF,5-8 Yrs
--,Marken Michel,WR,23,71,190,0,Massachusetts,Minnesota,WR,OFF,Rookie
2,Terrell Sinkfield,WR,25,73,192,0,Northern Iowa,Minnesota,WR,OFF,Rookie
12,Charles Johnson,WR,27,74,217,4,Grand Valley State,Minnesota,WR,OFF,1-4 Yrs
84,Cordarrelle Patterson,WR,25,74,220,4,Tennessee,Minnesota,WR,OFF,1-4 Yrs
19,Adam Thielen,WR,25,74,200,3,Minnesota State,Minnesota,WR,OFF,1-4 Yrs
1,Laquon Treadwell,WR,21,74,210,0,Ole Miss,Minnesota,WR,OFF,Rookie
15,Isaac Fruechte,WR,25,75,210,1,Minnesota,Minnesota,WR,OFF,1-4 Yrs
--,Moritz Bohringer,WR,22,76,227,0,null,Minnesota,WR,OFF,Rookie
