State,County,Total,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CERVICAL_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DEPRESSION_CrudePrev,DIABETES_CrudePrev,GHLTH_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev,HEARING_CrudePrev,VISION_CrudePrev,COGNITION_CrudePrev,MOBILITY_CrudePrev,SELFCARE_CrudePrev,INDEPLIVE_CrudePrev,DISABILITY_CrudePrev
AK,Aleutians East Borough,12059,8.487129944439838,29.4578654946513,16.001028277634962,30.56071813583216,78.72430549796833,7.6321834314619785,11.847541255493821,83.60964424910854,6.1516460734720955,71.14489592835227,83.94732564889294,72.3382452939713,7.998266854631395,49.30559747906128,40.80026536197031,16.881698316610002,64.09632639522349,24.64300522431379,9.208275976449125,14.283580728086907,33.8194377643254,3.017215357824032,23.80599552201675,74.50859109378887,15.868073637946763,33.20218923625507,11.294526909362302,32.93100588771872,3.1738452608010617,14.947798324902562,7.432100505846256,4.338087735301435,13.786765071730658,13.048569533128784,3.5613981258810847,7.749058794261547,28.8470105315532
AK,Aleutians West Census Area,74061,10.53320641093153,24.209504327513805,14.938219845802784,27.82532101915988,74.00782463104738,6.072673876939279,12.475366252143504,81.7343514130244,5.162121764491433,70.45229608025817,82.5733557472894,72.3615965217861,6.855095124289437,45.24438773443513,34.5595239059694,17.200741280836066,63.88303965649937,24.669249672567208,8.362732072210745,14.64107695008169,30.576391083026156,2.6052807820580335,23.998551194285792,75.62249226988563,16.57727008817056,35.56261190100052,10.546341529279918,34.763878424541936,2.7015811290692806,14.75759441541432,6.454027085780639,4.5877519882259215,14.120148256167214,11.384902985376918,3.4278027571866434,7.759383481184428,26.958108856213123
AK,Anchorage Municipality,176642,8.222714869623307,24.444298071806255,15.362769330057406,27.344000860497502,75.01784286862693,6.4363826270082996,11.705927808788397,83.68370829134633,4.929885870857441,71.72580133830006,85.13489487211422,73.98602540732102,6.139712525899843,47.43913169008503,37.33316142253824,14.78415552360141,68.93364828296781,23.516300766522118,7.902259372063269,12.546639530802414,31.264034034940728,2.5360542792767293,21.14408464578073,76.09036469242875,15.020600989572129,33.5299238006816,9.576745054969939,33.09527915218351,2.5469656140668695,11.977004902571302,6.121959103723915,3.730481991825274,11.95469650479501,10.226390099749777,2.880508033197088,6.510909636439804,24.305597762706494
AK,Bethel Census Area,75717,7.187424224414597,26.57333623888955,16.532245070459737,27.792714978142293,75.71763408481583,6.868003222525985,11.450819498923623,83.98842399989434,5.233166924204604,69.98151273822259,84.55242415837924,73.597407451431,6.650447059445038,48.85350713842334,41.22008927981827,15.05137683743413,67.55510387363472,24.36839415190776,8.003861748352417,12.263399236631141,31.4074078476432,2.6010446795303563,20.39515564536366,74.35719587411018,15.200174333372956,32.08334720076073,9.971254804073062,32.06035236472655,2.642106792398008,12.013656114214774,6.426614894937729,3.5689448868814133,12.201347121518285,10.619916267152686,2.926583197960828,6.465217850680825,24.95982672319294
AK,Bristol Bay Borough,22194,7.24085788951969,27.996296296296293,16.795539334955393,28.91963143191854,77.76793277462376,7.325385239253853,11.549689105163559,85.85701540957015,5.35627647111832,72.41497251509416,85.91604037127152,72.71088131927549,6.957988645579886,51.72465080652428,44.100157700279354,15.00427593043165,68.09265567270434,23.75544741822114,8.374421014688656,12.462318644678742,34.20377579525998,2.716716229611607,21.047805713255833,76.08855997116338,14.659448499594484,32.69407046949626,10.251653600072093,32.370528070649726,2.744259709831486,12.177669640443364,6.590646120573127,3.634653509957646,12.029124988735695,11.192849418761828,3.0071100297377673,6.576579255654682,25.52288005767324
AK,Denali Borough,5359,6.230733345773465,28.333439074454187,14.880779996267961,29.60401194252659,78.50080238850532,8.083280462772906,10.937339055793991,84.79860048516514,5.871972382907259,71.80550475835044,86.9137152453816,75.57975368538906,6.873577159917895,54.3774584810599,45.57374510169808,13.124034334763948,69.2362194439261,23.784586676618773,8.829333830938609,12.507314797536853,33.63754431796977,2.887087143123717,20.93733905579399,71.25446911737265,13.701604777010635,31.49499906699011,9.987292405299495,31.946146669154693,2.9085090501959323,10.925228587423026,7.248348572494868,3.465068109721963,10.832338122784101,11.382888598619145,2.9543571561858557,6.042246687814891,25.024930024258257
AK,Dillingham Census Area,66586,7.602408914786892,26.46259123539483,16.490359835400834,27.901345628210134,76.48663532874778,7.1050476076052025,11.608530321689244,82.06976841978795,5.420217463130387,68.50522332021745,82.71013426245757,72.59055507163669,6.78470999909891,49.98723455381011,40.17386838074069,14.33844802210675,65.74459195626709,24.366097978554052,8.193271858949329,12.946677980356231,30.977777610909197,2.713208482263539,20.93896164358874,75.21040008410176,16.097873426846483,30.78107109602619,10.193395007959632,32.011012825518876,2.7704802811401796,12.470016219625748,6.853783077523804,3.8443802000420506,13.198363019253296,11.32233502538071,3.033170636470129,6.991879674406031,27.268137446310035
AK,Fairbanks North Star Borough,30861,8.248556430446195,28.470943909789057,15.638896989728137,29.67238261883931,77.40662324616831,7.593888726872104,11.421214477819904,83.03177473186223,5.990327597939147,70.32543015456402,84.26998153008653,73.17412267910956,7.797540585204627,49.32476588574576,40.5512005443764,16.208645215644342,65.10050549236901,25.082861864489164,9.121791257574284,14.555552315219858,32.6612812287353,2.9601438709050263,23.57592430575808,71.69965976475162,15.586565568192865,32.35653089660089,11.176983895531578,32.69013641813292,3.0707430089757297,14.278655908752148,7.511000939697353,4.31899160753054,13.202673276951492,12.715770713845956,3.5350701532678785,7.4504876705226675,28.085065292764334
AK,Haines Borough,4278,5,29.7,15.899999999999999,30.4,80,8.5,10.1,87.6,5.6,76.6,90,76,6.2,49.3,43.4,11.9,76.5,21.9,8.8,11.1,36.5,2.9,18.4,76.8,12.7,29.6,9.6,28.4,2.8,8.3,6.9,3.1,9.2,10.8,2.6,5.3,24
AK,Hoonah-Angoon Census Area,43655,7.5567907456190575,27.777649753751003,17.141679074561907,30.82896346352079,76.05886381857749,7.2606688809987405,11.196765548047189,83.79236742641164,5.5565456419654105,72.70542205932884,84.68547245447256,71.21354025884777,7.100618485855,48.675606459741154,37.480004581376704,14.857626846867483,66.72792578169741,24.935519413583783,9.402487687550108,13.462089107776887,34.85117397778032,2.7855205589279577,20.389607146947657,74.22251059443361,15.442414385522849,31.98046042835872,10.627891421372121,30.711563394800137,2.853707479097469,12.371302256328025,7.135381972282672,3.89365937464208,12.630848700034361,11.855927156110411,3.1193517351964264,7.01372122322758,27.623456648722943
