Aruba,Latin America & Caribbean,SP.POP.TOTL,99405,93128,95138,92074,97635,91439,90588,101838,100150,100917,101604
Aruba,Latin America & Caribbean,NY.GDP.PCAP.CD,24845.65848,21949.486,23700.63199,21307.24825,24171.83713,20740.13258,20681.02303,24093.14015,26736.30894,28171.9094,25134.77123
Aruba,Latin America & Caribbean,SL.TLF.TOTL.IN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aruba,Latin America & Caribbean,SL.UEM.TOTL.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,East Asia & Pacific,SP.POP.TOTL,20450966,19720737,19932722,19495210,20176844,19274701,19028802,22031750,20827622,21249199,21691653
Australia,East Asia & Pacific,NY.GDP.PCAP.CD,36595.70715,23718.13385,30836.73068,20301.84317,34479.76793,19695.72974,21870.41597,52144.66547,41051.61207,49701.28178,42816.5674
Australia,East Asia & Pacific,SL.TLF.TOTL.IN,10664324,10032150,10143548,9859433,10443456,9713101,9542614,11675443,10951719,11241263,11482552
Australia,East Asia & Pacific,SL.UEM.TOTL.ZS,4.785,5.933,5.399,6.375,5.036,6.747,6.288,5.214,4.381,4.242,5.565
Austria,Europe & Central Asia,SP.POP.TOTL,8268641,8121423,8171966,8081957,8227829,8042293,8011566,8363404,8295487,8321496,8343323
Austria,Europe & Central Asia,NY.GDP.PCAP.CD,40382.20783,32110.11597,36614.25065,26334.86222,38157.37023,24430.49598,24487.29747,46611.13934,46622.96229,51581.39824,47857.44466
Austria,Europe & Central Asia,SL.TLF.TOTL.IN,4078846,3985902,3946181,3955409,4012358,3872867,3883391,4265488,4165230,4207426,4248651
Austria,Europe & Central Asia,SL.UEM.TOTL.ZS,5.32,4.779,5.969,4.852,5.682,4.007,4.687,4.883,4.909,4.198,5.371
Azerbaijan,Europe & Central Asia,SP.POP.TOTL,8484550,8234100,8306500,8171950,8391850,8111200,8048600,9054332,8581300,8763400,8947243
Azerbaijan,Europe & Central Asia,NY.GDP.PCAP.CD,2472.957257,883.6925807,1045.013633,763.1088955,1578.36733,703.6709986,655.0972496,5843.533768,3851.330152,5574.468104,4950.39949
Azerbaijan,Europe & Central Asia,SL.TLF.TOTL.IN,4157327,4242455,4179032,4260614,4180297,4283030,4306234,4281288,4042762,4094522,4219228
Azerbaijan,Europe & Central Asia,SL.UEM.TOTL.ZS,6.62,9.17,7.99,10.04,7.26,10.91,11.78,5.63,6.33,5.86,5.74
"Bahamas, The",Latin America & Caribbean,SP.POP.TOTL,348375,335618,339782,331614,343894,327836,323835,367478,353334,358120,362810
"Bahamas, The",Latin America & Caribbean,NY.GDP.PCAP.CD,29184.78651,26429.12478,26650.29342,26781.61959,28602.41819,25371.92377,24940.07751,27473.10043,30051.84896,29392.38244,27512.9131
"Bahamas, The",Latin America & Caribbean,SL.TLF.TOTL.IN,190813,181247,184263,178542,187447,175801,173045,204779,194582,198100,201229
"Bahamas, The",Latin America & Caribbean,SL.UEM.TOTL.ZS,7.54,10.84,10.2,9.05,10.2,6.87,7.12,14.432,7.88,8.18,14.25
Bahrain,Middle East & North Africa,SP.POP.TOTL,960424,764517,823741,710553,888822,661316,637582,1228543,1039295,1103496,1178415
Bahrain,Middle East & North Africa,NY.GDP.PCAP.CD,19267.28262,14486.0269,15963.94932,13501.47088,17966.16578,13573.23399,14214.48368,21819.32911,20908.40425,23299.49928,19465.31407
Bahrain,Middle East & North Africa,SL.TLF.TOTL.IN,507565,379899,417655,346170,459923,316440,300607,701770,561432,609556,665645
Bahrain,Middle East & North Africa,SL.UEM.TOTL.ZS,1.021,1.128,1.065,1.139,1.021,1.12,1.083,1.13,1.006,1.014,1.07
Bangladesh,South Asia,SP.POP.TOTL,146405973,140970351,142902856,138933658,144715786,136805810,134544304,152201981,147989278,149474264,150873714
Bangladesh,South Asia,NY.GDP.PCAP.CD,490.3880265,426.7488075,455.6140169,393.8864223,480.0858508,394.65641,396.6707302,757.3852804,537.9554928,613.062041,679.2114774
Bangladesh,South Asia,SL.TLF.TOTL.IN,54908227,52191921,53128855,51222747,54042558,50202022,49012721,58796583,55891567,56846810,57807404
Bangladesh,South Asia,SL.UEM.TOTL.ZS,3.591,4.32,4.314,3.966,4.25,3.61,3.27,3.379,4.017,4.492,5
Barbados,Latin America & Caribbean,SP.POP.TOTL,270002,265776,267298,264148,268706,262425,262063,275243,271288,272714,274123
Barbados,Latin America & Caribbean,NY.GDP.PCAP.CD,15619.6006,12075.9587,12886.36653,11760.45247,14214.42022,11639.51605,11674.67365,18860.38337,17235.43964,17565.693,16294.90995
Barbados,Latin America & Caribbean,SL.TLF.TOTL.IN,149367,145129,147603,143924,148476,142669,141943,151410,150206,150841,151202
Barbados,Latin America & Caribbean,SL.UEM.TOTL.ZS,8.73,11,9.57,10.32,9.08,9.85,9.35,10.69,7.41,8.12,10.02
Belarus,Europe & Central Asia,SP.POP.TOTL,9604924,9796749,9730146,9865548,9663915,9928549,9979610,9483836,9560953,9527985,9504583
Belarus,Europe & Central Asia,NY.GDP.PCAP.CD,3848.223503,1819.526531,2378.337005,1479.380663,3126.071767,1244.373185,1276.280381,6034.678852,4735.481076,6376.175692,5352.488092
Belarus,Europe & Central Asia,SL.TLF.TOTL.IN,4972585,4931321,4947805,4907075,4959438,4871194,4815953,5072487,4989962,5017101,5047868
Belarus,Europe & Central Asia,SL.UEM.TOTL.ZS,8.024,10.215,9.452,10.908,8.728,11.609,12.224,6.045,7.38,6.698,6.1
Belgium,Europe & Central Asia,SP.POP.TOTL,10547958,10376133,10421137,10332785,10478617,10286570,10251250,10895586,10625700,10709973,10796493
Belgium,Europe & Central Asia,NY.GDP.PCAP.CD,38705.1068,30655.20927,35429.40779,25006.1914,36809.70134,23015.07126,23098.88651,44197.39367,44319.16545,48303.39796,44923.34001
Belgium,Europe & Central Asia,SL.TLF.TOTL.IN,4647632,4395670,4486040,4358408,4627699,4307825,4412646,4901576,4735412,4779497,4801697
Belgium,Europe & Central Asia,SL.UEM.TOTL.ZS,8.246,7.68,7.363,6.91,8.44,6.178,6.586,8.293,7.459,6.976,7.908
Belize,Latin America & Caribbean,SP.POP.TOTL,287878,263780,271688,256009,279731,248379,240799,320245,296100,304361,312614
Belize,Latin America & Caribbean,NY.GDP.PCAP.CD,5527.167759,4962.08962,5156.098171,4861.743142,5272.744172,4721.816257,4729.670804,5451.138972,5765.281999,5713.281268,5401.229631
Belize,Latin America & Caribbean,SL.TLF.TOTL.IN,109679,97414,101380,93582,105467,89869,86164,127831,114014,118461,123041
Belize,Latin America & Caribbean,SL.UEM.TOTL.ZS,9.39,10.343,10.584,10.04,10.91,9.07,10.836,8.416,8.51,8.18,8.328
Benin,Sub-Saharan Africa,SP.POP.TOTL,8693242,7913070,8159094,7675426,8426144,7445596,7221619,9797484,8953969,9228466,9509423
Benin,Sub-Saharan Africa,NY.GDP.PCAP.CD,809.1470725,676.0028781,758.6958038,546.4638297,779.4377778,492.4014995,487.4241414,973.2442545,912.3382472,1060.602545,1024.102779
Benin,Sub-Saharan Africa,SL.TLF.TOTL.IN,3468401,3128205,3235131,3024243,3353095,2925855,2830348,3950108,3577425,3695226,3820397
